model,term,coef,IRR,CI_lower,CI_upper,p_value
Full sample Poisson – any_er_visit,Intercept,-1.815739892604722,0.16271747038709897,0.13336303332828223,0.19853309053042864,1.4444394338821736e-71
Full sample Poisson – any_er_visit,"C(housing_tenure, Treatment(reference=""Owned or being bought""))[T.Other arrangement]",0.28731850763506106,1.3328486683532794,1.1340481569974556,1.5664992370646709,0.0004896393616367905
Full sample Poisson – any_er_visit,"C(housing_tenure, Treatment(reference=""Owned or being bought""))[T.Rented]",0.2291886323426969,1.2575792367551086,1.1852438506815486,1.3343292486252103,3.3836739202820125e-14
Full sample Poisson – any_er_visit,C(sex)[T.Male],-0.13567697256983727,0.8731246301452656,0.8282203001217268,0.9204635767250112,4.7415912162808075e-07
Full sample Poisson – any_er_visit,C(race_ethnicity)[T.Black non-Hispanic],0.6526742016740218,1.920670226970959,1.6162087753109358,2.28248613491346,1.2455556876881073e-13
Full sample Poisson – any_er_visit,C(race_ethnicity)[T.Hispanic],0.4464732386374696,1.5627908645834874,1.3098962324601653,1.864510505415074,7.151599549243719e-07
Full sample Poisson – any_er_visit,C(race_ethnicity)[T.Multiple race non-Hispanic],0.7813050158172841,2.184320979713902,1.656863504733544,2.879692943194867,3.0127444280749486e-08
Full sample Poisson – any_er_visit,C(race_ethnicity)[T.Other non-Hispanic],0.4130884283485439,1.5114786775879276,1.1240593969583166,2.032426221412274,0.006257859991893741
Full sample Poisson – any_er_visit,C(race_ethnicity)[T.White non-Hispanic],0.5446647394889631,1.7240302862006458,1.4691908192110923,2.023073101786124,2.489526653166179e-11
Full sample Poisson – any_er_visit,C(education)[T.AA technical],0.09164271381159726,1.0959731760414635,0.9631663761860497,1.247092124788201,0.16437006905162554
Full sample Poisson – any_er_visit,C(education)[T.Bachelor's],-0.04404265791760708,0.9569131366806463,0.8617728168508606,1.0625570141538383,0.4097661158611239
Full sample Poisson – any_er_visit,C(education)[T.Doctorate],-0.12151492414570031,0.8855778367575797,0.7491392248632937,1.0468656278135051,0.15460641234336597
Full sample Poisson – any_er_visit,C(education)[T.GED],-0.0847437291549618,0.918747702484866,0.7478336157506515,1.1287234527080492,0.41969724138547315
Full sample Poisson – any_er_visit,C(education)[T.HS graduate],0.32425638017104425,1.3830018359177076,1.2009585630812145,1.5926395272493716,6.701454028296414e-06
Full sample Poisson – any_er_visit,C(education)[T.Less than HS],0.08568649271330539,1.0894647196313212,0.9748058885991904,1.2176099767175117,0.13098539970788664
Full sample Poisson – any_er_visit,C(education)[T.Master's],-0.18540281430378425,0.830769570576827,0.7577448091617278,0.9108318144203859,7.829350916562984e-05
Full sample Poisson – any_er_visit,C(education)[T.Professional],-0.21228692258637633,0.8087326206188381,0.721346052401392,0.906705525698322,0.00027409537452870083
Full sample Poisson – any_er_visit,"C(education)[T.Some college, no degree]",0.013767915764736627,1.0138631299822944,0.9341054177717639,1.1004308794070747,0.7418940111507768
Full sample Poisson – any_er_visit,C(health_insurance)[T.Uninsured],-0.31849307260433074,0.7272441158458691,0.6393090322923707,0.8272744124011829,1.2740972713281742e-06
Full sample Poisson – any_er_visit,transportation_barrier,0.40246165047289734,1.4955015723471414,1.368607529557556,1.6341609296974986,5.777028463816177e-19
Full sample Poisson – any_er_visit,housing_cost_trouble,0.509657719956747,1.6647212965416405,1.5291427958339263,1.8123206038765916,6.366821694269096e-32
Full sample Poisson – any_er_visit,AGEP_A,0.007068313250305053,1.0070933527372867,1.0055308251275021,1.008658308410409,4.573849388221086e-19
Full sample Poisson – any_er_visit,POVRATTC_A,-0.06895202722419191,0.9333714554237713,0.9218396934552581,0.9450474740727492,1.5898919121515192e-27
Renter-only Poisson – any_er_visit,Intercept,-1.4465227105309504,0.23538737668980164,0.17515648239206996,0.3163298117673039,8.585743612685084e-22
Renter-only Poisson – any_er_visit,C(sex)[T.Male],-0.24112085799196514,0.7857466568864049,0.7180281587294918,0.8598518056737642,1.5742204543563828e-07
Renter-only Poisson – any_er_visit,C(race_ethnicity)[T.Black non-Hispanic],0.670789246568604,1.955780304552775,1.4976498819127886,2.554052616617699,8.391034598768442e-07
Renter-only Poisson – any_er_visit,C(race_ethnicity)[T.Hispanic],0.5686942948486862,1.7659597227090875,1.3481346348885186,2.3132806334944767,3.649067257861046e-05
Renter-only Poisson – any_er_visit,C(race_ethnicity)[T.Multiple race non-Hispanic],0.7386708155464927,2.093151480250349,1.3958455237023828,3.138802284978627,0.0003526017906118171
Renter-only Poisson – any_er_visit,C(race_ethnicity)[T.Other non-Hispanic],0.5625708109895575,1.7551789385174836,1.140910211537121,2.7001713851477147,0.010473317198721539
Renter-only Poisson – any_er_visit,C(race_ethnicity)[T.White non-Hispanic],0.6452888232355882,1.9065376021179943,1.4804794222818767,2.455208477458841,5.717933966400775e-07
Renter-only Poisson – any_er_visit,C(education)[T.AA technical],-0.007973275798100388,0.9920584264524929,0.7993457229975807,1.2312318602327406,0.9423212797573496
Renter-only Poisson – any_er_visit,C(education)[T.Bachelor's],-0.061010119889526475,0.940813718796935,0.7889839906940656,1.1218611073437283,0.49687066755038134
Renter-only Poisson – any_er_visit,C(education)[T.Doctorate],-0.36503046297844616,0.6941755039024673,0.4778613891263199,1.0084088005085974,0.05536363241226753
Renter-only Poisson – any_er_visit,C(education)[T.GED],0.004438919396050267,1.0044487859923592,0.7501264751586182,1.3449963400747635,0.9762267187222471
Renter-only Poisson – any_er_visit,C(education)[T.HS graduate],0.2939883404205713,1.3417682591221751,1.1020679952353638,1.6336034337003509,0.003412818457498866
Renter-only Poisson – any_er_visit,C(education)[T.Less than HS],0.06647967593952861,1.068739242733444,0.9070471195393794,1.2592549431593958,0.42701953537675486
Renter-only Poisson – any_er_visit,C(education)[T.Master's],-0.2689970562181758,0.764145505122537,0.6513728986352235,0.8964425050879777,0.0009605252032108821
Renter-only Poisson – any_er_visit,C(education)[T.Professional],-0.20998655436723643,0.8105951448615535,0.6548405400480809,1.0033961685158934,0.05375302663228885
Renter-only Poisson – any_er_visit,"C(education)[T.Some college, no degree]",0.017863677835154062,1.0180241876688907,0.8943645182847803,1.1587817109141025,0.7868889461434321
Renter-only Poisson – any_er_visit,C(health_insurance)[T.Uninsured],-0.24917630911096939,0.7794425384485352,0.660985524326805,0.9191285563505326,0.0030504800902886376
Renter-only Poisson – any_er_visit,transportation_barrier,0.42502106758324226,1.529622644776323,1.3560425933246747,1.7254217875826798,4.648315712147357e-12
Renter-only Poisson – any_er_visit,housing_cost_trouble,0.4645401214431234,1.5912822240197624,1.4179130224540022,1.7858493972351017,2.9516095796585624e-15
Renter-only Poisson – any_er_visit,government_rent_assistance,0.22491839106098088,1.2522205196338194,1.1210207206240224,1.3987754204214224,6.805481246180229e-05
Renter-only Poisson – any_er_visit,AGEP_A,0.0034478071277813443,1.0034537576515639,1.001089057102345,1.0058240439262964,0.004180926722807778
Renter-only Poisson – any_er_visit,POVRATTC_A,-0.08237321025332993,0.9209281947073706,0.8971194271834626,0.9453688261658132,7.102562068027655e-10
