model,term,coef,IRR,CI_lower,CI_upper,p_value
Full sample Poisson – doctor_gap_yr,Intercept,0.3954806150513689,1.4850977797721199,1.4205823378202929,1.5525431766723,3.2986333404532145e-68
Full sample Poisson – doctor_gap_yr,"C(housing_tenure, Treatment(reference=""Owned or being bought""))[T.Other arrangement]",0.023950892168832904,1.0242400184496827,0.9687704567518388,1.0828856392991109,0.39916885708544025
Full sample Poisson – doctor_gap_yr,"C(housing_tenure, Treatment(reference=""Owned or being bought""))[T.Rented]",0.02759253903226952,1.027976738678456,1.0088135198166126,1.0475039781941997,0.004054106153472914
Full sample Poisson – doctor_gap_yr,C(sex)[T.Male],0.1476486422382427,1.1591055640708507,1.1424880666410335,1.175964763124425,2.4555453345495934e-89
Full sample Poisson – doctor_gap_yr,C(race_ethnicity)[T.Black non-Hispanic],-0.11214033702183845,0.8939187987953243,0.8623627978134527,0.9266295123882833,9.614058789612365e-10
Full sample Poisson – doctor_gap_yr,C(race_ethnicity)[T.Hispanic],-0.06236185901771322,0.9395428432205359,0.9038802968049469,0.9766124534047896,0.0015852490147784276
Full sample Poisson – doctor_gap_yr,C(race_ethnicity)[T.Multiple race non-Hispanic],-0.0022505899146828077,0.9977519407639366,0.9111630893771218,1.0925694279151934,0.9612465693493341
Full sample Poisson – doctor_gap_yr,C(race_ethnicity)[T.Other non-Hispanic],-0.04618085595707162,0.9548692527808327,0.8798363759257642,1.0363009701057826,0.2687293361279598
Full sample Poisson – doctor_gap_yr,C(race_ethnicity)[T.White non-Hispanic],-0.03592511875828216,0.9647125296506434,0.9351435673569841,0.9952164537636892,0.023706009135939607
Full sample Poisson – doctor_gap_yr,C(education)[T.AA technical],-0.02038690344336393,0.9798195044204759,0.9424053998201972,1.0187189731998094,0.3047401491616576
Full sample Poisson – doctor_gap_yr,C(education)[T.Bachelor's],-0.018668588225977677,0.9815045905251453,0.9532538340572017,1.0105925901412378,0.21026419534543794
Full sample Poisson – doctor_gap_yr,C(education)[T.Doctorate],-0.01075772115557729,0.989299936187563,0.949057878301511,1.0312483422952876,0.6116452371408735
Full sample Poisson – doctor_gap_yr,C(education)[T.GED],-0.027428131621525968,0.9729446039918876,0.9105237185922311,1.0396447485195779,0.41751281373154814
Full sample Poisson – doctor_gap_yr,C(education)[T.HS graduate],0.04021949505796528,1.0410392520875675,0.9847632755196747,1.1005312152965125,0.15605657459099923
Full sample Poisson – doctor_gap_yr,C(education)[T.Less than HS],0.0676143915950614,1.0699526461876077,1.0259173284452463,1.1158780862184863,0.0016147101541441034
Full sample Poisson – doctor_gap_yr,C(education)[T.Master's],-0.022963174177646404,0.9772984729305584,0.9538601144727521,1.0013127613794204,0.06373323145700016
Full sample Poisson – doctor_gap_yr,C(education)[T.Professional],-0.068444112227551,0.9338456491982879,0.9095665233728049,0.9587728595076457,3.5364732241025693e-07
Full sample Poisson – doctor_gap_yr,"C(education)[T.Some college, no degree]",0.0243715121452587,1.0246709248796706,0.9990342848887586,1.050965437498144,0.059399295710661076
Full sample Poisson – doctor_gap_yr,C(health_insurance)[T.Uninsured],0.4351981878110549,1.5452692821420022,1.4855715868421162,1.6073659293710199,6.099959690494212e-104
Full sample Poisson – doctor_gap_yr,transportation_barrier,-0.01739873272013501,0.9827517512227821,0.95200885320669,1.0144874191855446,0.28329121792302914
Full sample Poisson – doctor_gap_yr,housing_cost_trouble,-0.024236016096537964,0.9760553178047606,0.946048096989825,1.0070143224707515,0.12820201010306378
Full sample Poisson – doctor_gap_yr,AGEP_A,-0.003944135682654977,0.9960636322045971,0.9956672446636526,0.9964601775523625,5.088089509918541e-84
Full sample Poisson – doctor_gap_yr,POVRATTC_A,-0.00495651195565133,0.9950557512804074,0.9921648707043509,0.9979550550437302,0.0008409577943447794
Renter-only Poisson – doctor_gap_yr,Intercept,0.3625023311389389,1.4369205706437145,1.3372080109514235,1.544068469100776,5.1278625587991784e-23
Renter-only Poisson – doctor_gap_yr,C(sex)[T.Male],0.20962949358960284,1.2332210589932842,1.198985378607694,1.2684343007673418,3.083546493586098e-48
Renter-only Poisson – doctor_gap_yr,C(race_ethnicity)[T.Black non-Hispanic],-0.09186292560782137,0.9122301843734081,0.8594496664550103,0.9682520591512771,0.0025199513259174093
Renter-only Poisson – doctor_gap_yr,C(race_ethnicity)[T.Hispanic],-0.05023835212689533,0.9510027239625698,0.8926576295242373,1.0131613185967525,0.11989950211594327
