model,term,coef,IRR,CI_lower,CI_upper,p_value
Full sample Poisson – general_health,Intercept,1.4019063581889288,4.062938003900902,3.9871993589938954,4.140115338428333,0.0
Full sample Poisson – general_health,"C(housing_tenure, Treatment(reference=""Owned or being bought""))[T.Other arrangement]",-0.056505541214949925,0.9450612476931234,0.9203079928391559,0.970480283601513,3.010241646589154e-05
Full sample Poisson – general_health,"C(housing_tenure, Treatment(reference=""Owned or being bought""))[T.Rented]",-0.031895332783548475,0.9686079582725482,0.9610076036795907,0.9762684220568562,2.0947529295473447e-15
Full sample Poisson – general_health,C(sex)[T.Male],-0.018143956827825908,0.9820196537481205,0.9757686686773829,0.9883106839807996,2.5641903128907596e-08
Full sample Poisson – general_health,C(race_ethnicity)[T.Black non-Hispanic],0.0005976940488621173,1.000597872703542,0.984241301811486,1.017226264551348,0.9433376233954666
Full sample Poisson – general_health,C(race_ethnicity)[T.Hispanic],0.02200292966775935,1.0222467793094827,1.0058958150043742,1.0388635306172997,0.007483842610288696
Full sample Poisson – general_health,C(race_ethnicity)[T.Multiple race non-Hispanic],-0.06858570954224193,0.9337134285232929,0.89238488415779,0.9769559996833926,0.002984954327597937
Full sample Poisson – general_health,C(race_ethnicity)[T.Other non-Hispanic],0.0006971933165686035,1.0006974364123207,0.958759392417836,1.044469933918283,0.9745376291703463
Full sample Poisson – general_health,C(race_ethnicity)[T.White non-Hispanic],0.02338992334765359,1.0236656128608046,1.0106959373506208,1.0368017207040205,0.0003239674500131308
Full sample Poisson – general_health,C(education)[T.AA technical],-0.018739964360935026,0.9814345370211346,0.9631374011706915,1.0000792714384308,0.0509728299517158
Full sample Poisson – general_health,C(education)[T.Bachelor's],0.015077671610224382,1.0151919131441138,1.0017740340612047,1.0287895128755546,0.026346769623478303
Full sample Poisson – general_health,C(education)[T.Doctorate],0.06976145284376431,1.0722523679905152,1.054226331270004,1.0905866288467845,7.346305534081317e-16
Full sample Poisson – general_health,C(education)[T.GED],-0.05324905059289636,0.94814384728766,0.9182061081456421,0.9790576943176394,0.0011424549630947097
Full sample Poisson – general_health,C(education)[T.HS graduate],-0.11977283004894913,0.8871219412763764,0.8633940800087494,0.9115018934181152,4.767903419054872e-18
Full sample Poisson – general_health,C(education)[T.Less than HS],-0.12075059061342272,0.8862549723394054,0.8684377655092352,0.9044377239119128,2.2039709692521484e-31
Full sample Poisson – general_health,C(education)[T.Master's],0.04760222951609402,1.048753409194801,1.037635604372,1.0599903363603176,2.0551751735845893e-18
Full sample Poisson – general_health,C(education)[T.Professional],0.06483527008411503,1.0669832458462594,1.0541293698992837,1.0799938597910348,1.0162669840650917e-25
Full sample Poisson – general_health,"C(education)[T.Some college, no degree]",-0.028269003735146087,0.9721268258778846,0.9611774572113658,0.9832009255951534,1.0011031299230983e-06
Full sample Poisson – general_health,C(health_insurance)[T.Uninsured],0.050806642611006904,1.0521194385465533,1.0366307497351663,1.0678395496663726,1.889363574405597e-11
Full sample Poisson – general_health,transportation_barrier,-0.11129691273999606,0.89467306965669,0.8786242003833716,0.9110150861081076,1.9139349595122392e-33
Full sample Poisson – general_health,housing_cost_trouble,-0.09569683788421923,0.9087394696933704,0.8940219070007698,0.9236993157684188,1.5326236346331359e-30
Full sample Poisson – general_health,AGEP_A,-0.0038677525165159558,0.9961397176042857,0.9959552756396433,0.9963241937259221,0.0
Full sample Poisson – general_health,POVRATTC_A,0.015151522580533889,1.015266888820429,1.0140850420917744,1.0164501129105792,2.1882151781477054e-143
Renter-only Poisson – general_health,Intercept,1.414734052484672,4.115391842188442,3.990528798359807,4.244161831813475,0.0
Renter-only Poisson – general_health,C(sex)[T.Male],0.0067653299489988826,1.0067882664889043,0.9941913103258266,1.0195448330840247,0.2922854225170133
Renter-only Poisson – general_health,C(race_ethnicity)[T.Black non-Hispanic],0.010750974597094475,1.0108089739881323,0.9853958689723459,1.0368774764202047,0.40793014674869743
Renter-only Poisson – general_health,C(race_ethnicity)[T.Hispanic],0.021809664207349894,1.0220492334050424,0.9964015828574172,1.0483570615255762,0.09257763330283274
Renter-only Poisson – general_health,C(race_ethnicity)[T.Multiple race non-Hispanic],-0.051812577581063966,0.9495068090301357,0.884151493107787,1.0196931039788235,0.15444951791511918
Renter-only Poisson – general_health,C(race_ethnicity)[T.Other non-Hispanic],0.024147026803034405,1.0244409270929635,0.9586837769478213,1.094708430807431,0.47560187573553114
Renter-only Poisson – general_health,C(race_ethnicity)[T.White non-Hispanic],0.0007002953587325672,1.0007005406227765,0.9799723534873336,1.0218671663941592,0.9477165989796406
Renter-only Poisson – general_health,C(education)[T.AA technical],0.0007939744904883095,1.0007942897716704,0.9637716748271862,1.0392391025801593,0.9670701718188665
Renter-only Poisson – general_health,C(education)[T.Bachelor's],0.01646368403571854,1.0165999573079383,0.9894411505000658,1.0445042362309078,0.23339957970549163
Renter-only Poisson – general_health,C(education)[T.Doctorate],0.0687946392841262,1.0712162008327282,1.0325717658747942,1.1113069201096537,0.0002427688112259487
Renter-only Poisson – general_health,C(education)[T.GED],0.003363561944907577,1.0033692250670267,0.9518957298000349,1.0576261351892966,0.9003800971142385
Renter-only Poisson – general_health,C(education)[T.HS graduate],-0.09458851000243626,0.9097472093347211,0.8715367450457336,0.9496329209262228,1.556291444332993e-05
Renter-only Poisson – general_health,C(education)[T.Less than HS],-0.10708049514082386,0.8984533489506302,0.8686298770859157,0.9293007776208019,5.065112176730194e-10
Renter-only Poisson – general_health,C(education)[T.Master's],0.05104158930281047,1.0523666595687653,1.030878557445017,1.0743026694790772,1.239665373517684e-06
Renter-only Poisson – general_health,C(education)[T.Professional],0.0821231941635827,1.0855895398873592,1.0590678980412087,1.1127753482968776,7.637260946946685e-11
Renter-only Poisson – general_health,"C(education)[T.Some college, no degree]",-0.027521249683656053,0.9728540094938615,0.952316409044439,0.9938345226435317,0.011469118896790642
Renter-only Poisson – general_health,C(health_insurance)[T.Uninsured],0.027108614356047653,1.0274793957159993,1.0056258825948485,1.0498078131171633,0.013457608202339249
Renter-only Poisson – general_health,transportation_barrier,-0.12059365386070332,0.8863940692312675,0.8626357922944364,0.910806684566817,3.3312453726698436e-18
Renter-only Poisson – general_health,housing_cost_trouble,-0.07497770336153765,0.9277641721202643,0.9060748805639481,0.949972654063938,5.224597170682878e-10
Renter-only Poisson – general_health,government_rent_assistance,-0.08691304102458078,0.9167568124001728,0.8951918707429524,0.9388412479490137,8.296731822288851e-13
Renter-only Poisson – general_health,AGEP_A,-0.004757460510165932,0.995253838280136,0.9948769705437613,0.9956308487771686,7.738038490776069e-134
Renter-only Poisson – general_health,POVRATTC_A,0.015036573967239017,1.015150192006632,1.0126328567972929,1.0176737851371058,1.6966227533760584e-32
