model,term,OR,CI_lower,CI_upper,p_value,coef,IRR
Full sample Logistic – delayed_medical_care,"C(housing_tenure, Treatment(reference=""Owned or being bought""))[T.Other arrangement]",1.1483,0.8523,1.5471,0.3632,,
Full sample Logistic – delayed_medical_care,"C(housing_tenure, Treatment(reference=""Owned or being bought""))[T.Rented]",1.165,1.0454,1.2983,0.0057,,
Full sample Logistic – delayed_medical_care,transportation_barrier,1.9285,1.65,2.2541,0.0,,
Full sample Logistic – delayed_medical_care,housing_cost_trouble,3.2769,2.8571,3.7585,0.0,,
Renter-only Logistic – delayed_medical_care,transportation_barrier,2.1742,1.7617,2.6833,0.0,,
Renter-only Logistic – delayed_medical_care,housing_cost_trouble,2.534,2.091,3.0707,0.0,,
Renter-only Logistic – delayed_medical_care,government_rent_assistance,0.5752,0.4424,0.748,0.0,,
Full sample Logistic – has_usual_place,"C(housing_tenure, Treatment(reference=""Owned or being bought""))[T.Other arrangement]",0.6252,0.4817,0.8115,0.0004,,
Full sample Logistic – has_usual_place,"C(housing_tenure, Treatment(reference=""Owned or being bought""))[T.Rented]",0.6274,0.5722,0.6879,0.0,,
Full sample Logistic – has_usual_place,transportation_barrier,0.8292,0.7073,0.9722,0.0211,,
Full sample Logistic – has_usual_place,housing_cost_trouble,0.9853,0.8458,1.1477,0.8491,,
Renter-only Logistic – has_usual_place,transportation_barrier,0.7492,0.6049,0.9279,0.0082,,
Renter-only Logistic – has_usual_place,housing_cost_trouble,1.0914,0.892,1.3354,0.3957,,
Renter-only Logistic – has_usual_place,government_rent_assistance,1.4721,1.1564,1.8741,0.0017,,
Full sample Poisson – doctor_gap_yr,"C(housing_tenure, Treatment(reference=""Owned or being bought""))[T.Other arrangement]",,0.9687704567518388,1.0828856392991109,0.39916885708544025,0.023950892168832904,1.0242400184496827
Full sample Poisson – doctor_gap_yr,"C(housing_tenure, Treatment(reference=""Owned or being bought""))[T.Rented]",,1.0088135198166126,1.0475039781941997,0.004054106153472914,0.02759253903226952,1.027976738678456
Full sample Poisson – doctor_gap_yr,transportation_barrier,,0.95200885320669,1.0144874191855446,0.28329121792302914,-0.01739873272013501,0.9827517512227821
Full sample Poisson – doctor_gap_yr,housing_cost_trouble,,0.946048096989825,1.0070143224707515,0.12820201010306378,-0.024236016096537964,0.9760553178047606
Renter-only Poisson – doctor_gap_yr,transportation_barrier,,0.9378989616848499,1.032347043705658,0.5096660114347926,-0.016139079671059136,0.9839904574689539
Renter-only Poisson – doctor_gap_yr,housing_cost_trouble,,0.9356492186725474,1.0224218281000494,0.32713768330847637,-0.022170242423076587,0.9780737112383548
Renter-only Poisson – doctor_gap_yr,government_rent_assistance,,0.8916242892889983,0.9643964452066003,0.00016243803008467883,-0.07548162708901764,0.9272967675184527
Full sample Poisson – any_er_visit,"C(housing_tenure, Treatment(reference=""Owned or being bought""))[T.Other arrangement]",,1.1340481569974556,1.5664992370646709,0.0004896393616367905,0.28731850763506106,1.3328486683532794
Full sample Poisson – any_er_visit,"C(housing_tenure, Treatment(reference=""Owned or being bought""))[T.Rented]",,1.1852438506815486,1.3343292486252103,3.3836739202820125e-14,0.2291886323426969,1.2575792367551086
Full sample Poisson – any_er_visit,transportation_barrier,,1.368607529557556,1.6341609296974986,5.777028463816177e-19,0.40246165047289734,1.4955015723471414
Full sample Poisson – any_er_visit,housing_cost_trouble,,1.5291427958339263,1.8123206038765916,6.366821694269096e-32,0.509657719956747,1.6647212965416405
Renter-only Poisson – any_er_visit,transportation_barrier,,1.3560425933246747,1.7254217875826798,4.648315712147357e-12,0.42502106758324226,1.529622644776323
Renter-only Poisson – any_er_visit,housing_cost_trouble,,1.4179130224540022,1.7858493972351017,2.9516095796585624e-15,0.4645401214431234,1.5912822240197624
Renter-only Poisson – any_er_visit,government_rent_assistance,,1.1210207206240224,1.3987754204214224,6.805481246180229e-05,0.22491839106098088,1.2522205196338194
Full sample Poisson – general_health,"C(housing_tenure, Treatment(reference=""Owned or being bought""))[T.Other arrangement]",,0.9203079928391559,0.970480283601513,3.010241646589154e-05,-0.056505541214949925,0.9450612476931234
Full sample Poisson – general_health,"C(housing_tenure, Treatment(reference=""Owned or being bought""))[T.Rented]",,0.9610076036795907,0.9762684220568562,2.0947529295473447e-15,-0.031895332783548475,0.9686079582725482
Full sample Poisson – general_health,transportation_barrier,,0.8786242003833716,0.9110150861081076,1.9139349595122392e-33,-0.11129691273999606,0.89467306965669
Full sample Poisson – general_health,housing_cost_trouble,,0.8940219070007698,0.9236993157684188,1.5326236346331359e-30,-0.09569683788421923,0.9087394696933704
Renter-only Poisson – general_health,transportation_barrier,,0.8626357922944364,0.910806684566817,3.3312453726698436e-18,-0.12059365386070332,0.8863940692312675
Renter-only Poisson – general_health,housing_cost_trouble,,0.9060748805639481,0.949972654063938,5.224597170682878e-10,-0.07497770336153765,0.9277641721202643
Renter-only Poisson – general_health,government_rent_assistance,,0.8951918707429524,0.9388412479490137,8.296731822288851e-13,-0.08691304102458078,0.9167568124001728
