model,term,OR,CI_lower,CI_upper,p_value
Full sample Logistic – has_usual_place,"C(housing_tenure, Treatment(reference=""Owned or being bought""))[T.Other arrangement]",0.6252,0.4817,0.8115,0.0004
Full sample Logistic – has_usual_place,"C(housing_tenure, Treatment(reference=""Owned or being bought""))[T.Rented]",0.6274,0.5722,0.6879,0.0
Full sample Logistic – has_usual_place,C(sex)[T.Male],0.5519,0.5082,0.5994,0.0
Full sample Logistic – has_usual_place,C(race_ethnicity)[T.Black non-Hispanic],1.4411,1.1816,1.7577,0.0003
Full sample Logistic – has_usual_place,C(race_ethnicity)[T.Hispanic],1.202,0.9991,1.4461,0.0512
Full sample Logistic – has_usual_place,C(race_ethnicity)[T.Multiple race non-Hispanic],1.3007,0.8144,2.0774,0.2712
Full sample Logistic – has_usual_place,C(race_ethnicity)[T.Other non-Hispanic],2.544,1.4658,4.4155,0.0009
Full sample Logistic – has_usual_place,C(race_ethnicity)[T.White non-Hispanic],1.171,1.0036,1.3663,0.0449
Full sample Logistic – has_usual_place,C(education)[T.AA technical],0.8283,0.6582,1.0425,0.1084
Full sample Logistic – has_usual_place,C(education)[T.Bachelor's],1.005,0.8395,1.2033,0.9563
Full sample Logistic – has_usual_place,C(education)[T.Doctorate],0.7499,0.5937,0.9471,0.0157
Full sample Logistic – has_usual_place,C(education)[T.GED],0.935,0.673,1.2991,0.6889
Full sample Logistic – has_usual_place,C(education)[T.HS graduate],0.7146,0.5552,0.9197,0.009
Full sample Logistic – has_usual_place,C(education)[T.Less than HS],0.7993,0.6581,0.9709,0.024
Full sample Logistic – has_usual_place,C(education)[T.Master's],0.8328,0.7244,0.9575,0.0102
Full sample Logistic – has_usual_place,C(education)[T.Professional],0.9958,0.8365,1.1854,0.962
Full sample Logistic – has_usual_place,"C(education)[T.Some college, no degree]",0.8899,0.7757,1.021,0.0962
Full sample Logistic – has_usual_place,C(health_insurance)[T.Uninsured],0.2537,0.2244,0.2869,0.0
Full sample Logistic – has_usual_place,transportation_barrier,0.8292,0.7073,0.9722,0.0211
Full sample Logistic – has_usual_place,housing_cost_trouble,0.9853,0.8458,1.1477,0.8491
Full sample Logistic – has_usual_place,AGEP_A,1.0252,1.0228,1.0277,0.0
Full sample Logistic – has_usual_place,POVRATTC_A,1.0081,0.9912,1.0253,0.3494
Renter-only Logistic – has_usual_place,C(sex)[T.Male],0.5266,0.4634,0.5984,0.0
Renter-only Logistic – has_usual_place,C(race_ethnicity)[T.Black non-Hispanic],1.6868,1.2866,2.2116,0.0002
Renter-only Logistic – has_usual_place,C(race_ethnicity)[T.Hispanic],1.3342,1.0341,1.7213,0.0265
Renter-only Logistic – has_usual_place,C(race_ethnicity)[T.Multiple race non-Hispanic],1.0666,0.5841,1.9478,0.8337
Renter-only Logistic – has_usual_place,C(race_ethnicity)[T.Other non-Hispanic],3.2711,1.4842,7.2094,0.0033
Renter-only Logistic – has_usual_place,C(race_ethnicity)[T.White non-Hispanic],1.254,1.0045,1.5655,0.0455
Renter-only Logistic – has_usual_place,C(education)[T.AA technical],0.7955,0.5495,1.1515,0.2253
Renter-only Logistic – has_usual_place,C(education)[T.Bachelor's],1.052,0.7832,1.4132,0.7362
Renter-only Logistic – has_usual_place,C(education)[T.Doctorate],0.7331,0.496,1.0836,0.1194
Renter-only Logistic – has_usual_place,C(education)[T.GED],0.6474,0.4181,1.0026,0.0514
Renter-only Logistic – has_usual_place,C(education)[T.HS graduate],0.8348,0.5732,1.2156,0.3462
Renter-only Logistic – has_usual_place,C(education)[T.Less than HS],0.7689,0.5761,1.0262,0.0743
Renter-only Logistic – has_usual_place,C(education)[T.Master's],0.7982,0.6416,0.9931,0.0431
Renter-only Logistic – has_usual_place,C(education)[T.Professional],0.9157,0.6957,1.2053,0.5298
Renter-only Logistic – has_usual_place,"C(education)[T.Some college, no degree]",0.8238,0.6673,1.0169,0.0712
Renter-only Logistic – has_usual_place,C(health_insurance)[T.Uninsured],0.2852,0.2407,0.3378,0.0
Renter-only Logistic – has_usual_place,transportation_barrier,0.7492,0.6049,0.9279,0.0082
Renter-only Logistic – has_usual_place,housing_cost_trouble,1.0914,0.892,1.3354,0.3957
Renter-only Logistic – has_usual_place,government_rent_assistance,1.4721,1.1564,1.8741,0.0017
Renter-only Logistic – has_usual_place,AGEP_A,1.0241,1.02,1.0282,0.0
Renter-only Logistic – has_usual_place,POVRATTC_A,1.0003,0.9722,1.0293,0.9823
